Titre,auteur,Genre,publication,Payslivre,Affiche,film,Réalisateur,Producteur,sortiefilm,Paysfilm,Ratings
Alice's Adventures In Wonderland,Lewis Caroll,Conte,1865,UK,http://www.imdb.com/media/rm2555955456/tt0043274?ref_=tt_ov_i,Alice in Wonderland,Hamilton Lukes,Walt Disney,1995,USA,"7,4"
Alice's Adventures In Wonderland,Lewis Caroll,Conte,1865,UK,http://www.imdb.com/media/rm1086033408/tt1014759?ref_=tt_ov_i,Alice in Wonderland,Tim Burton ,Walt Disney,2010,USA,"6,5"
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://i43.tower.com/images/mm100597787/beauty-beast-diary-film-jean-cocteau-paperback-cover-art.jpg,La belle et la bête,Jean Cocteau,DisCina,1946,France,8
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://img3.wikia.nocookie.net/__cb20101223180859/disney/images/2/23/BeautyandtheBeast1992VHSCover.jpg,Beauty and the Beast,"Gary Trousdale, Kirk Wise",Walt Disney,1991,USA,"8,1"
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://www.imdb.com/media/rm2845505536/tt2316801?ref_=tt_ov_i,La belle et la bête,Christophe Gans,Pathé | TF1 Films Production,2014,France,"6,5"
Notre dame de Paris,Victor Hugo,Drama | Historique,1831,France,http://www.imdb.com/media/rm3035405312/tt0050781?ref_=tt_ov_i,Notre-Dame de Paris,Jean Delannoy,Panitalia | Paris Film Productions,1956,France,"6,8"
Notre dame de Paris,Victor Hugo,Drama | Historique,1831,France,http://www.imdb.com/media/rm33529344/tt0116583?ref_=ttmd_md_nxt,The Hunchback of Notre-Dame," Gary Trousdale, Kirk Wise",Walt Disney,1996,USA,"6,9"
Peter and Wendy,J.M Barrie,Aventure,1911,UK,http://www.imdb.com/media/rm4270959616/tt0046183?ref_=tt_ov_i,Peter Pan,Clyde Geronimi / Wilfred Jackson / Hamilton Luske,Walt Disney,1953,USA,"7,4"
Peter and Wendy,J.M Barrie,Aventure,1911,UK,http://www.imdb.com/media/rm3643971584/tt0316396?ref_=tt_ov_i,Peter Pan,P.J Hogan, Universal Pictures,2003,USA,"6,9"
La belle au bois dormant,Charles Perrault,Conte,1697,France,N/A,La belle au bois dormant,Stéphane Passet,Azur,1922,France,"7,8"
La belle au bois dormant,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm1970312704/tt0053285?ref_=tt_ov_i,Sleeping beauty,Clyde Geronimi,Walt Disney,1959,USA,"7,4"
La belle au bois dormant,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm2488531712/tt1587310?ref_=tt_ov_i,Maleficent,Robert Stromberg,Walt Disney,2014,USA,"7,1"
